"filename", "language", "Markdown", "HTML", "XML", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\UI\View.js", "JavaScript", 0, 0, 0, 0, 21, 0, 1, 7, 29
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\UI\eventDetail\EventDetailCard.js", "JavaScript", 0, 0, 0, 0, 71, 0, 1, 9, 81
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\UI\locationDetail\LocationDetailCard.js", "JavaScript", 0, 0, 0, 0, 119, 0, 2, 9, 130
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\UI\locationDetail\LocationDetailEvents.js", "JavaScript", 0, 0, 0, 0, 64, 0, 1, 10, 75
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\UI\locationDetail\LocationDetailHeader.js", "JavaScript", 0, 0, 0, 0, 42, 0, 1, 7, 50
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\UI\locationDetail\LocationDetailLeaveRating.js", "JavaScript", 0, 0, 0, 0, 74, 0, 1, 8, 83
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\UI\locationDetail\LocationDetailLeaveRatingBtn.js", "JavaScript", 0, 0, 0, 0, 24, 0, 1, 8, 33
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\UI\locationDetail\LocationDetailNavigator.js", "JavaScript", 0, 0, 0, 0, 63, 0, 1, 11, 75
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\UI\locationDetail\LocationDetailPics.js", "JavaScript", 0, 0, 0, 0, 62, 0, 1, 8, 71
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\UI\locationDetail\LocationDetailReviews.js", "JavaScript", 0, 0, 0, 0, 117, 0, 1, 12, 130
